IND_UUID,IND_NAME,IND_CODE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME,DIM_TIME_TYPE,DIM_SEX,DIM_VALUE_TYPE,VALUE_NUMERIC,DIM_PUBLISH_STATE_CODE
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,24,Angola,2000,YEAR,Total,AMOUNT,42.87378,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,24,Angola,2000,YEAR,Female,AMOUNT,44.74432,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,8,Albania,2000,YEAR,Female,AMOUNT,67.68733,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,954,Americas,2000,YEAR,Male,AMOUNT,62.48308,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,784,United Arab Emirates,2000,YEAR,Total,AMOUNT,63.85107,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,784,United Arab Emirates,2000,YEAR,Female,AMOUNT,63.75569,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,32,Argentina,2000,YEAR,Total,AMOUNT,65.14491,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,32,Argentina,2000,YEAR,Female,AMOUNT,67.4618,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,36,Australia,2000,YEAR,Male,AMOUNT,67.16424,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,40,Austria,2000,YEAR,Total,AMOUNT,68.17779,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,31,Azerbaijan,2000,YEAR,Total,AMOUNT,58.49506,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,108,Burundi,2000,YEAR,Total,AMOUNT,38.13007,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,108,Burundi,2000,YEAR,Male,AMOUNT,36.64311,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,204,Benin,2000,YEAR,Total,AMOUNT,49.58824,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,854,Burkina Faso,2000,YEAR,Male,AMOUNT,43.90425,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,50,Bangladesh,2000,YEAR,Total,AMOUNT,57.04773,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,100,Bulgaria,2000,YEAR,Female,AMOUNT,66.0047,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,100,Bulgaria,2000,YEAR,Male,AMOUNT,61.18507,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,44,Bahamas,2000,YEAR,Total,AMOUNT,62.68615,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,44,Bahamas,2000,YEAR,Male,AMOUNT,60.57037,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,70,Bosnia and Herzegovina,2000,YEAR,Total,AMOUNT,66.16883,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,112,Belarus,2000,YEAR,Total,AMOUNT,60.82161,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,52,Barbados,2000,YEAR,Male,AMOUNT,64.61119,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,96,Brunei Darussalam,2000,YEAR,Female,AMOUNT,64.75875,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,72,Botswana,2000,YEAR,Male,AMOUNT,39.18445,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,124,Canada,2000,YEAR,Female,AMOUNT,70.64491,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,152,Chile,2000,YEAR,Male,AMOUNT,65.43459,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,156,China,2000,YEAR,Male,AMOUNT,62.71333,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,384,Côte d'Ivoire,2000,YEAR,Female,AMOUNT,44.95908,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,120,Cameroon,2000,YEAR,Total,AMOUNT,46.05244,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,4,Afghanistan,2000,YEAR,Total,AMOUNT,46.76397,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,953,Africa,2000,YEAR,Male,AMOUNT,45.03009,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,28,Antigua and Barbuda,2000,YEAR,Male,AMOUNT,63.93232,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,36,Australia,2000,YEAR,Total,AMOUNT,68.57265,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,31,Azerbaijan,2000,YEAR,Female,AMOUNT,60.41421,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,56,Belgium,2000,YEAR,Total,AMOUNT,67.84242,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,56,Belgium,2000,YEAR,Female,AMOUNT,69.51875,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,854,Burkina Faso,2000,YEAR,Total,AMOUNT,44.87911,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,50,Bangladesh,2000,YEAR,Male,AMOUNT,56.6199,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,100,Bulgaria,2000,YEAR,Total,AMOUNT,63.53907,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,48,Bahrain,2000,YEAR,Total,AMOUNT,61.8783,PUBLISHED
C64284D,Healthy life expectancy (at birth),WHOSIS_000002,48,Bahrain,2000,YEAR,Male,AMOUNT,61.97976,PUBLISHED
